prompt,question
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a natural thing?\nAnswer: Yes.\n""}",Is it a living thing?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a natural thing?\nAnswer: Yes.\nQuestion: Is it a living thing?\nAnswer: No\n""}",Is it a mineral?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a person?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a person?\nAnswer: No\n""}",Is it man-made?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a person?\nAnswer: No\nQuestion: Is it man-made?\nAnswer: No\n""}",Is it found in nature?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a living thing?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living thing?\nAnswer: Yes\n""}",Is it a mammal?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living thing?\nAnswer: Yes\nQuestion: Is it a mammal?\nAnswer: No\n""}",Is it a vertebrate?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a living thing?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living thing?\nAnswer: No.\n""}",Is it something you can hold in your hand?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a living thing?\nAnswer: No.\nQuestion: Is it something you can hold in your hand?\nAnswer: Yes.\n""}",Is it made of paper?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a man-made object?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a man-made object?\nAnswer: Yes\n""}",Is it smaller than a car?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a man-made object?\nAnswer: Yes\nQuestion: Is it smaller than a car?\nAnswer: Yes.\n""}",Is it used for entertainment?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a man-made object?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a man-made object?\nAnswer: Yes\n""}",Is it smaller than a car?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a man-made object?\nAnswer: Yes\nQuestion: Is it smaller than a car?\nAnswer: Yes.\n""}",Is it made of plastic?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a man-made object?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a man-made object?\nAnswer: Yes\n""}",Is it smaller than a car?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a man-made object?\nAnswer: Yes\nQuestion: Is it smaller than a car?\nAnswer: Yes\n""}",Is it electronic?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it man-made?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it man-made?\nAnswer: Yes\n""}",Is it a building?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it man-made?\nAnswer: Yes\nQuestion: Is it a building?\nAnswer: No\n""}",Is it something that can be driven?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it something you can hold in your hand?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it something you can hold in your hand?\nAnswer: Yes\n""}",Is it made of plastic?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it something you can hold in your hand?\nAnswer: Yes\nQuestion: Is it made of plastic?\nAnswer: No\n""}",Is it man-made?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it something you can hold in your hand?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it something you can hold in your hand?\nAnswer: Yes\n""}",Is it electronic?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it something you can hold in your hand?\nAnswer: Yes\nQuestion: Is it electronic?\nAnswer: Yes\n""}",Is it manufactured?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\n""}",Is it a man-made object?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a man-made object?\nAnswer: Yes\n""}",Is it man-made to be portable?
"{'role': 'system', 'content': ""You are a helpful AI assistant with expertise in playing the 20 Questions game. Your task is to ask the user a series of yes/no questions to guess the word they are thinking of. Never try to guess the word yourself. Focus on asking the most informative questions to determine if the word is a person, place, or thing. Each question should be a maximum length of 30 characters. Respond only with questions and no additional text.\nFollow these steps:\n1. Start with broad questions to classify the word into a large category.\n2. Based on the user's answers, narrow down the category by asking more specific questions.\n3. Use logical reasoning to eliminate possibilities and narrow down the answer.\n4. Always consider the context of previous answers when forming your next question.\n5. Keep questions concise and directly related to narrowing down the word.\nExamples:\n'Is it a living thing?' -> 'Yes' -> 'Is it an animal?' -> 'Yes' -> 'Is it a mammal?'\n'Is it a place?' -> 'Yes' -> 'Is it a country?' -> 'No' -> 'Is it a city?'so far, the current state of the game is as following:\nQuestion: Is it a man-made object?\nAnswer: Yes\nQuestion: Is it man-made to be portable?\nAnswer: Yes\n""}",Can you carry it in one hand?
